step,loss,steps_per_s,lr
50600,0.01785,4.15,8.52e-05
50700,0.01680,3.90,8.52e-05
50800,0.01790,4.14,8.51e-05
50900,0.01776,3.71,8.51e-05
51000,0.01674,3.95,8.50e-05
51100,0.01788,3.83,8.49e-05
51200,0.01728,4.03,8.49e-05
51300,0.01808,3.59,8.48e-05
51400,0.01830,3.99,8.48e-05
51500,0.01844,3.86,8.47e-05
51600,0.01738,4.06,8.47e-05
51700,0.01683,3.56,8.46e-05
51800,0.01614,3.87,8.46e-05
51900,0.01694,3.58,8.45e-05
52000,0.01722,3.99,8.44e-05
52100,0.01632,3.66,8.44e-05
52200,0.01666,3.94,8.43e-05
52300,0.01611,3.73,8.43e-05
52400,0.01770,3.73,8.42e-05
52500,0.01787,3.45,8.42e-05
52600,0.01822,3.88,8.41e-05
52700,0.01710,3.78,8.40e-05
52800,0.01738,4.09,8.40e-05
52900,0.01768,3.65,8.39e-05
53000,0.01691,4.05,8.39e-05
53100,0.01776,3.82,8.38e-05
53200,0.01719,3.80,8.37e-05
53300,0.01755,3.80,8.37e-05
53400,0.01738,4.02,8.36e-05
53500,0.01800,3.93,8.36e-05
53600,0.01640,4.03,8.35e-05
53700,0.01734,3.62,8.35e-05
53800,0.01655,4.07,8.34e-05
53900,0.01599,3.87,8.33e-05
54000,0.01676,4.04,8.33e-05
54100,0.01764,3.55,8.32e-05
54200,0.01698,4.07,8.32e-05
54300,0.01618,3.85,8.31e-05
54400,0.01546,4.13,8.30e-05
54500,0.01702,3.56,8.30e-05
54600,0.01635,3.79,8.29e-05
54700,0.01628,3.67,8.29e-05
54800,0.01803,3.99,8.28e-05
54900,0.01796,3.52,8.27e-05
55000,0.01674,3.94,8.27e-05
55100,0.01676,3.69,8.26e-05
55200,0.01647,3.87,8.26e-05
55300,0.01699,3.74,8.25e-05
55400,0.01628,4.07,8.24e-05
55500,0.01569,3.87,8.24e-05
55600,0.01627,4.19,8.23e-05
55700,0.01653,3.79,8.23e-05
55800,0.01548,4.12,8.22e-05
55900,0.01651,3.89,8.21e-05
56000,0.01727,4.12,8.21e-05
56100,0.01560,3.70,8.20e-05
56200,0.01664,4.10,8.20e-05
56300,0.01685,3.83,8.19e-05
56400,0.01595,3.96,8.18e-05
56500,0.01675,3.76,8.18e-05
56600,0.01655,4.02,8.17e-05
56700,0.01671,3.78,8.17e-05
56800,0.01646,3.73,8.16e-05
56900,0.01501,3.24,8.15e-05
57000,0.01678,3.68,8.15e-05
57100,0.01674,3.63,8.14e-05
57200,0.01649,3.50,8.14e-05
57300,0.01700,3.34,8.13e-05
57400,0.01617,3.81,8.12e-05
57500,0.01640,3.81,8.12e-05
57600,0.01525,4.01,8.11e-05
57700,0.01621,3.58,8.11e-05
57800,0.01605,3.96,8.10e-05
57900,0.01690,3.94,8.09e-05
58000,0.01707,4.22,8.09e-05
58100,0.01536,3.77,8.08e-05
58200,0.01513,4.12,8.07e-05
58300,0.01571,3.91,8.07e-05
58400,0.01562,4.12,8.06e-05
58500,0.01659,3.67,8.06e-05
58600,0.01554,4.03,8.05e-05
58700,0.01695,3.90,8.04e-05
58800,0.01546,4.20,8.04e-05
58900,0.01674,3.89,8.03e-05
59000,0.01750,4.21,8.02e-05
59100,0.01688,4.08,8.02e-05
59200,0.01628,4.31,8.01e-05
59300,0.01582,3.84,8.01e-05
59400,0.01475,4.21,8.00e-05
59500,0.01571,4.10,7.99e-05
59600,0.01565,4.25,7.99e-05
59700,0.01573,3.82,7.98e-05
59800,0.01581,4.24,7.97e-05
59900,0.01645,3.96,7.97e-05
60000,0.01661,4.10,7.96e-05
60100,0.01503,3.63,7.95e-05
60200,0.01608,4.11,7.95e-05
60300,0.01620,3.98,7.94e-05
60400,0.01656,4.35,7.94e-05
60500,0.01588,3.82,7.93e-05
60600,0.01567,4.01,7.92e-05
60700,0.01607,3.75,7.92e-05
60800,0.01564,4.15,7.91e-05
60900,0.01557,3.83,7.90e-05
61000,0.01634,4.09,7.90e-05
61100,0.01526,3.79,7.89e-05
61200,0.01612,4.09,7.88e-05
61300,0.01565,3.48,7.88e-05
61400,0.01584,3.69,7.87e-05
61500,0.01599,3.61,7.87e-05
61600,0.01547,3.85,7.86e-05
61700,0.01642,3.47,7.85e-05
61800,0.01578,4.00,7.85e-05
61900,0.01522,3.78,7.84e-05
62000,0.01645,3.91,7.83e-05
62100,0.01516,3.55,7.83e-05
62200,0.01587,3.80,7.82e-05
62300,0.01525,3.81,7.81e-05
62400,0.01533,4.28,7.81e-05
62500,0.01539,3.61,7.80e-05
62600,0.01545,3.63,7.79e-05
62700,0.01557,3.77,7.79e-05
62800,0.01499,4.14,7.78e-05
62900,0.01610,3.71,7.77e-05
63000,0.01560,4.13,7.77e-05
63100,0.01696,4.06,7.76e-05
63200,0.01484,4.25,7.75e-05
63300,0.01456,3.76,7.75e-05
63400,0.01668,3.97,7.74e-05
63500,0.01543,3.90,7.73e-05
63600,0.01556,4.18,7.73e-05
63700,0.01554,3.73,7.72e-05
63800,0.01584,3.90,7.71e-05
63900,0.01499,3.75,7.71e-05
64000,0.01494,4.23,7.70e-05
64100,0.01588,3.81,7.70e-05
64200,0.01500,4.09,7.69e-05
64300,0.01531,3.85,7.68e-05
64400,0.01571,4.14,7.68e-05
64500,0.01600,3.79,7.67e-05
64600,0.01637,4.00,7.66e-05
64700,0.01600,3.85,7.66e-05
64800,0.01582,3.64,7.65e-05
64900,0.01559,3.35,7.64e-05
65000,0.01538,3.73,7.64e-05
65100,0.01471,3.58,7.63e-05
65200,0.01571,3.63,7.62e-05
65300,0.01575,3.22,7.62e-05
65400,0.01477,3.69,7.61e-05
65500,0.01499,3.55,7.60e-05
65600,0.01527,3.72,7.59e-05
65700,0.01575,3.27,7.59e-05
65800,0.01531,3.58,7.58e-05
65900,0.01486,3.49,7.57e-05
66000,0.01407,3.75,7.57e-05
66100,0.01421,3.30,7.56e-05
66200,0.01484,3.70,7.55e-05
66300,0.01495,3.50,7.55e-05
66400,0.01640,3.65,7.54e-05
66500,0.01515,3.12,7.53e-05
66600,0.01502,3.55,7.53e-05
66700,0.01463,3.36,7.52e-05
66800,0.01441,3.70,7.51e-05
66900,0.01446,3.37,7.51e-05
67000,0.01473,3.65,7.50e-05
67100,0.01522,3.82,7.49e-05
67200,0.01503,3.63,7.49e-05
67300,0.01508,3.30,7.48e-05
67400,0.01423,3.48,7.47e-05
67500,0.01583,3.48,7.47e-05
67600,0.01443,3.63,7.46e-05
67700,0.01470,3.47,7.45e-05
67800,0.01499,3.53,7.45e-05
67900,0.01402,3.53,7.44e-05
68000,0.01567,3.78,7.43e-05
68100,0.01439,3.47,7.42e-05
68200,0.01524,3.67,7.42e-05
68300,0.01423,3.64,7.41e-05
68400,0.01451,3.80,7.40e-05
68500,0.01476,3.35,7.40e-05
68600,0.01559,3.84,7.39e-05
68700,0.01486,3.69,7.38e-05
68800,0.01427,3.84,7.38e-05
68900,0.01529,3.51,7.37e-05
69000,0.01426,3.87,7.36e-05
69100,0.01521,3.63,7.36e-05
69200,0.01449,3.76,7.35e-05
69300,0.01432,3.28,7.34e-05
69400,0.01480,3.87,7.33e-05
69500,0.01431,3.71,7.33e-05
69600,0.01547,3.98,7.32e-05
69700,0.01297,3.53,7.31e-05
69800,0.01418,3.81,7.31e-05
69900,0.01538,3.67,7.30e-05
70000,0.01385,3.76,7.29e-05
70100,0.01479,3.43,7.29e-05
70200,0.01398,3.76,7.28e-05
70300,0.01396,3.60,7.27e-05
70400,0.01511,3.81,7.26e-05
70500,0.01523,3.45,7.26e-05
70600,0.01434,3.70,7.25e-05
70700,0.01537,3.53,7.24e-05
70800,0.01580,3.78,7.24e-05
70900,0.01444,3.33,7.23e-05
71000,0.01485,3.31,7.22e-05
71100,0.01403,3.50,7.22e-05
71200,0.01464,3.83,7.21e-05
71300,0.01440,3.49,7.20e-05
71400,0.01414,3.97,7.19e-05
71500,0.01342,3.81,7.19e-05
71600,0.01481,3.84,7.18e-05
71700,0.01384,3.43,7.17e-05
71800,0.01442,3.94,7.17e-05
71900,0.01406,3.80,7.16e-05
72000,0.01464,3.83,7.15e-05
72100,0.01327,3.44,7.14e-05
72200,0.01364,3.76,7.14e-05
72300,0.01452,3.50,7.13e-05
72400,0.01521,3.81,7.12e-05
72500,0.01381,3.41,7.12e-05
72600,0.01473,3.86,7.11e-05
72700,0.01538,3.60,7.10e-05
72800,0.01411,3.91,7.09e-05
72900,0.01365,3.55,7.09e-05
73000,0.01404,3.84,7.08e-05
73100,0.01428,3.66,7.07e-05
73200,0.01396,3.95,7.07e-05
